user_id;rec_stories
866150;[2905557, 6045275, 3693052, 7565325, 10506441]
920718;[5062719, 10991501, 12058516, 6045275, 10399961]
945165;[6045275, 10991501, 10399961, 2905557, 5358187]
1081298;[6045275, 2905557, 5358187, 2741470, 6029161]
1968974;[3401052, 10991501, 10399961, 6892925, 4230389]
2490778;[10991501, 3401052, 12058516, 10645463, 8975202]
3159672;[6754695, 10991501, 2905557, 10399961, 2833136]
3529966;[9860311, 10991501, 12058516, 6754695, 11916243]
4369280;[10991501, 3401052, 6892925, 9860311, 10399961]
4432684;[10991501, 10506441, 4230389, 11916243, 12058516]
4660561;[2724972, 5358187, 2251671, 8257400, 4230389]
8499112;[6045275, 6892925, 5358187, 10991501, 10399961]
1663463;[10991501, 12058516, 5453054, 9860311, 4302068]
1956770;[5358187, 2724972, 4230389, 6045275, 3152469]
3645727;[8257400, 6029161, 10991501, 12058516, 2724972]
5537142;[10506441, 6754695, 10991501, 2905557, 6045275]
6182956;[8257400, 6045275, 6754695, 6029161, 10991501]
8464935;[10399961, 10991501, 4230389, 6754695, 2905557]
8499112;[8257400, 10991501, 10399961, 6147206, 5062719]
1727251;[10991501, 10399961, 8257400, 6754695, 3152469]
4369280;[10991501, 3401052, 12058516, 8975202, 6754695]
5638596;[6754695, 10399961, 2905557, 10991501, 8257400]
6855546;[10991501, 10506441, 10399961, 3401052, 6754695]
8499112;[10991501, 9860311, 8823783, 11916243, 4118383]
866150;[2905557, 10399961, 5358187, 6754695, 2724972]
1009447;[2724972, 10399961, 10991501, 6754695, 8257400]
3306332;[10991501, 4230389, 9860311, 3401052, 10506441]
7201076;[12058516, 9860311, 5062719, 11916243, 8823783]
8357187;[6892925, 10991501, 5453054, 4230389, 9860311]
8499112;[10991501, 3401052, 12058516, 10399961, 6754695]
2490778;[3157478, 12058516, 10506441, 6045275, 10991501]
2777454;[10991501, 12058516, 5453054, 9860311, 10399961]
3017679;[2724972, 10366391, 5200789, 8257400, 6045275]
3306332;[10991501, 3401052, 10399961, 5453054, 9860311]
3620736;[3401052, 3157478, 5453054, 10991501, 4302068]
102390;[6045275, 5358187, 9486886, 10399961, 12058516]
456647;[10991501, 6754695, 8670912, 12058516, 4045539]
4724487;[2905557, 2724972, 6045275, 2741470, 5358187]
