user_id;rec_stories
56285;[7026042, 11723179, 7124111, 4583618, 6541079]
4561926;[7026042, 11723179, 7124111, 4583618, 6541079]
4605054;[7026042, 11723179, 7124111, 4583618, 6541079]
4612655;[7026042, 11723179, 7124111, 4583618, 6541079]
4653789;[7026042, 11723179, 7124111, 4583618, 6541079]
4660561;[7026042, 11723179, 7124111, 4583618, 6541079]
4724487;[7026042, 11723179, 7124111, 4583618, 6541079]
5916873;[7026042, 11723179, 7124111, 4583618, 6541079]
6182956;[7026042, 11723179, 7124111, 4583618, 6541079]
6365094;[11723179, 7026042, 7124111, 4583618, 6541079]
7267483;[11723179, 7026042, 7124111, 6541079, 11264162]
7306498;[7026042, 11723179, 7124111, 4583618, 6541079]
7788785;[7026042, 11723179, 7124111, 4583618, 6541079]
529727;[7026042, 11723179, 7124111, 4583618, 6541079]
697940;[7026042, 11723179, 7124111, 4583618, 6541079]
797895;[7026042, 11723179, 7124111, 4583618, 6541079]
829916;[7026042, 11723179, 7124111, 4583618, 6541079]
848498;[7026042, 11723179, 7124111, 4583618, 6541079]
874735;[7026042, 11723179, 7124111, 4583618, 6541079]
910268;[7026042, 11723179, 7124111, 4583618, 6541079]
1010739;[7026042, 11723179, 7124111, 4583618, 6541079]
1039324;[7026042, 11723179, 7124111, 4583618, 6541079]
1169362;[7026042, 11723179, 7124111, 4583618, 6541079]
1175945;[7026042, 11723179, 7124111, 4583618, 6541079]
1254630;[7026042, 11723179, 7124111, 4583618, 6541079]
1257997;[7026042, 11723179, 7124111, 4583618, 6541079]
1277221;[7026042, 11723179, 7124111, 4583618, 6541079]
1282663;[7026042, 11723179, 7124111, 4583618, 6541079]
1364352;[7026042, 11723179, 7124111, 4583618, 6541079]
1364430;[7026042, 11723179, 7124111, 4583618, 6541079]
1441618;[7026042, 11723179, 7124111, 4583618, 6541079]
1467906;[7026042, 11723179, 7124111, 4583618, 6541079]
1521734;[7026042, 11723179, 7124111, 4583618, 6541079]
1547857;[7026042, 11723179, 7124111, 4583618, 6541079]
1652534;[7026042, 11723179, 7124111, 4583618, 6541079]
1710653;[7026042, 11723179, 7124111, 4583618, 6541079]
1726366;[7026042, 11723179, 7124111, 4583618, 6541079]
1777701;[7026042, 11723179, 7124111, 4583618, 6541079]
1793757;[7026042, 11723179, 7124111, 4583618, 6541079]
1804286;[7026042, 11723179, 7124111, 4583618, 6541079]
1921648;[7026042, 11723179, 7124111, 4583618, 6541079]
2050756;[7026042, 11723179, 7124111, 4583618, 6541079]
2131527;[7026042, 11723179, 7124111, 4583618, 6541079]
2142391;[7026042, 11723179, 7124111, 4583618, 6541079]
2191537;[7026042, 11723179, 7124111, 4583618, 6541079]
2207088;[7026042, 11723179, 7124111, 4583618, 6541079]
2208534;[7026042, 11723179, 7124111, 4583618, 6541079]
2213599;[7026042, 11723179, 7124111, 4583618, 6541079]
2349486;[11723179, 7026042, 7124111, 6541079, 11264162]
2392816;[7026042, 11723179, 7124111, 4583618, 6541079]
2407005;[7026042, 11723179, 7124111, 4583618, 6541079]
2412082;[7026042, 11723179, 7124111, 4583618, 6541079]
2513926;[7026042, 11723179, 7124111, 4583618, 6541079]
2554976;[7026042, 11723179, 7124111, 4583618, 6541079]
2610270;[11723179, 7026042, 7124111, 6541079, 11264162]
2619159;[11723179, 7026042, 7124111, 6541079, 11264162]
2798539;[7026042, 11723179, 7124111, 4583618, 6541079]
3306332;[7026042, 11723179, 7124111, 4583618, 6541079]
3510103;[7026042, 11723179, 7124111, 4583618, 6541079]
4407605;[7026042, 11723179, 7124111, 4583618, 6541079]
181587;[7026042, 11723179, 7124111, 4583618, 6541079]
309587;[7026042, 11723179, 7124111, 4583618, 6541079]
4724487;[7026042, 11723179, 7124111, 4583618, 6541079]
4741780;[7026042, 11723179, 7124111, 4583618, 6541079]
1726366;[7026042, 11723179, 7124111, 4583618, 6541079]
2120788;[11723179, 7026042, 7124111, 11264162, 6541079]
2490778;[7026042, 11723179, 7124111, 4583618, 6541079]
