user_id;rec_stories
909080;[10610076, 3157478, 10322302, 4586362, 5721324]
985407;[10610076, 3157478, 7899682, 10322302, 6466185]
1169362;[6772394, 10322302, 8837107, 4586362, 10610076]
1175945;[10610076, 3157478, 6466185, 7899682, 3401052]
1361664;[10610076, 3157478, 7899682, 10322302, 6466185]
1374677;[10610076, 3157478, 7899682, 10322302, 6466185]
1400419;[10610076, 6466185, 4586362, 4536005, 3157478]
1426613;[10610076, 3157478, 7899682, 11671069, 10322302]
1435694;[10610076, 3157478, 7899682, 10322302, 6466185]
1547857;[10610076, 3157478, 7899682, 10322302, 6466185]
1570528;[10610076, 10322302, 3157478, 7899682, 4586362]
1612089;[6821850, 7965930, 5716145, 6550419, 4946293]
1623122;[10610076, 10322302, 3157478, 7899682, 4586362]
1638611;[5716145, 7965930, 6550419, 4946293, 6821850]
1705936;[10610076, 8914586, 5077573, 11671069, 3157478]
1708271;[10610076, 10322302, 6772394, 5721324, 3157478]
1726366;[10610076, 3157478, 7899682, 10322302, 6466185]
1793757;[8837107, 6772394, 6821850, 4293510, 8612305]
1883885;[8914586, 11671069, 6174426, 9424669, 5077573]
1910652;[10610076, 3157478, 5453054, 7899682, 3401052]
1963839;[10610076, 7899682, 10322302, 3157478, 3268063]
1964394;[10610076, 3157478, 7899682, 6466185, 3268063]
1994922;[10610076, 3157478, 5453054, 6466185, 3401052]
2130659;[10322302, 6772394, 4586362, 10610076, 6733544]
2131527;[6821850, 7965930, 8914586, 11446957, 9704180]
2208534;[6821850, 6772394, 8837107, 4293510, 7965930]
2213599;[7965930, 6821850, 5716145, 6550419, 5882420]
2251479;[10610076, 3157478, 7899682, 5453054, 3401052]
2338415;[6772394, 10322302, 8837107, 4586362, 9832027]
2399200;[5716145, 7965930, 6821850, 6550419, 4946293]
2487027;[6821850, 7965930, 8837107, 4293510, 6772394]
2490778;[6821850, 7965930, 5716145, 6550419, 5882420]
2513926;[10610076, 5721324, 9424669, 6772394, 10322302]
2514331;[10610076, 3157478, 6466185, 3401052, 4536005]
2642985;[10610076, 10322302, 7899682, 3157478, 4586362]
2789154;[10610076, 3157478, 7899682, 10322302, 4586362]
3133152;[10610076, 3157478, 7899682, 9281148, 10322302]
3306332;[10610076, 3157478, 7899682, 11671069, 10322302]
3488110;[10610076, 3157478, 4586362, 6466185, 10322302]
3932749;[6821850, 7965930, 5882420, 5716145, 9704180]
4068301;[10610076, 3157478, 7899682, 5453054, 11671069]
4096536;[9424669, 2571676, 8914586, 2505033, 5077573]
4368910;[6772394, 8837107, 4293510, 8612305, 9832027]
102390;[10610076, 3157478, 5453054, 7899682, 6466185]
426638;[6772394, 10322302, 8837107, 4586362, 4293510]
442836;[5716145, 7965930, 6550419, 4946293, 6821850]
56285;[6821850, 7965930, 8837107, 5882420, 2505033]
4561926;[6821850, 7965930, 9704180, 5882420, 2505033]
4605054;[6821850, 7965930, 5716145, 5882420, 6145729]
4612655;[5716145, 7965930, 6550419, 6821850, 4946293]
4653789;[10610076, 3157478, 7899682, 6466185, 3401052]
4660561;[10610076, 3157478, 6466185, 7899682, 4586362]
4724487;[9704180, 11574569, 11446957, 8914586, 5403795]
5916873;[10610076, 3157478, 7899682, 9281148, 11671069]
6182956;[10610076, 8914586, 11671069, 9424669, 3157478]
6365094;[10610076, 8914586, 11671069, 3157478, 9424669]
7267483;[10610076, 3157478, 7899682, 5453054, 11671069]
7306498;[6821850, 7965930, 5716145, 5882420, 6989390]
7788785;[6821850, 7965930, 11446957, 9704180, 8914586]
529727;[10610076, 10322302, 5721324, 7899682, 3157478]
697940;[6772394, 8837107, 9832027, 10322302, 10610076]
797895;[10610076, 3157478, 7899682, 10322302, 6466185]
829916;[10610076, 3157478, 7899682, 10322302, 6466185]
848498;[10610076, 10322302, 6772394, 4586362, 3157478]
874735;[10610076, 3157478, 7899682, 10322302, 6466185]
910268;[6821850, 7965930, 8837107, 6772394, 4293510]
1010739;[6821850, 7965930, 5882420, 8837107, 2505033]
1039324;[10610076, 3157478, 7899682, 10322302, 6466185]
1169362;[6821850, 7965930, 5882420, 6989390, 5716145]
1175945;[9704180, 8914586, 5403795, 11446957, 11574569]
1254630;[10322302, 6772394, 10610076, 4586362, 5721324]
1257997;[10610076, 3157478, 7899682, 10322302, 9281148]
1277221;[6821850, 6772394, 7965930, 8837107, 4293510]
1282663;[6821850, 7965930, 8837107, 6772394, 4293510]
1364352;[6821850, 7965930, 5716145, 5882420, 6989390]
1364430;[6772394, 8837107, 10322302, 4586362, 9832027]
1441618;[6772394, 8837107, 4293510, 8612305, 9832027]
1467906;[6821850, 7965930, 6772394, 8837107, 4293510]
1521734;[10610076, 10322302, 7899682, 6733544, 6201563]
1547857;[10610076, 10322302, 4586362, 3157478, 6466185]
1652534;[10610076, 3157478, 6466185, 7899682, 4586362]
1710653;[10610076, 3157478, 7899682, 10322302, 6466185]
1726366;[10610076, 10322302, 3157478, 6772394, 4586362]
1777701;[6772394, 6821850, 8837107, 4293510, 8612305]
1793757;[6772394, 8837107, 4293510, 8612305, 9832027]
1804286;[10610076, 3157478, 6466185, 4586362, 5453054]
1921648;[10610076, 3157478, 7899682, 6466185, 10322302]
2050756;[7965930, 5716145, 6821850, 6550419, 6989390]
2131527;[6821850, 6772394, 8837107, 4293510, 7965930]
2142391;[6772394, 10322302, 8837107, 9832027, 5721324]
2191537;[8914586, 9424669, 2919503, 2571676, 11446957]
2207088;[10610076, 3157478, 6466185, 4586362, 10322302]
2208534;[10610076, 3157478, 7899682, 5453054, 3401052]
2213599;[10610076, 11671069, 5721324, 10322302, 6174426]
2349486;[10610076, 3157478, 5453054, 3401052, 7899682]
2392816;[6772394, 10610076, 8837107, 5721324, 9832027]
2407005;[10610076, 3157478, 7899682, 10322302, 6466185]
2412082;[6821850, 6772394, 8837107, 7965930, 4293510]
2513926;[10322302, 6772394, 10610076, 4586362, 8837107]
2554976;[10610076, 3157478, 7899682, 11671069, 10322302]
2610270;[10610076, 3157478, 7899682, 5453054, 3401052]
2619159;[10610076, 3157478, 7899682, 11671069, 9281148]
2798539;[6821850, 7965930, 5716145, 5882420, 6550419]
3306332;[6821850, 7965930, 11446957, 8914586, 9704180]
3510103;[6772394, 8837107, 4586362, 9832027, 10610076]
4407605;[7965930, 6821850, 5716145, 6550419, 5882420]
181587;[10610076, 3157478, 7899682, 10322302, 9281148]
309587;[6821850, 7965930, 5882420, 5716145, 5496816]
4724487;[6821850, 7965930, 5716145, 5882420, 6989390]
4741780;[10610076, 3157478, 10322302, 7899682, 4586362]
1726366;[5716145, 7965930, 6550419, 6821850, 4946293]
2120788;[10610076, 11671069, 3157478, 8914586, 9281148]
2490778;[6821850, 7965930, 8837107, 5882420, 4968343]
3133152;[6772394, 8837107, 9832027, 5721324, 9424669]
4114697;[7965930, 6821850, 5716145, 6550419, 5882420]
309587;[6821850, 7965930, 5716145, 5882420, 6550419]
456647;[6772394, 8837107, 9832027, 5721324, 4293510]
4502738;[8914586, 11446957, 6821850, 7017751, 9704180]
4605054;[9424669, 8837107, 6821850, 2571676, 8914586]
4660561;[6821850, 7965930, 5716145, 5882420, 6550419]
4724487;[9424669, 8837107, 8914586, 6772394, 2571676]
4735988;[10610076, 8914586, 5077573, 3157478, 9424669]
4741780;[6821850, 9424669, 8914586, 8837107, 2505033]
4848800;[6821850, 7965930, 8837107, 6772394, 4293510]
5208280;[10610076, 3157478, 7899682, 5453054, 3401052]
8305905;[6821850, 7965930, 9704180, 5716145, 4946293]
848498;[5716145, 7965930, 6550419, 4946293, 6989390]
1400419;[10610076, 3157478, 7899682, 6466185, 3401052]
1726366;[10610076, 10322302, 4586362, 3157478, 6466185]
1885305;[10610076, 10322302, 3157478, 4586362, 6466185]
